teamid;most_common_system;time_system;Use%;last_coach;mean_Use%;std_Use%;num_games_played;num_formations_played;stat_def;time_def;Use%_def;stat_med;time_med;Use%_med;stat_mp;time_mp;Use%_mp;stat_ata;time_ata;Use%_ata;Use%_ata_k1;Use%_ata_k2;Use%_ata_k3;Use%_def_k3;Use%_def_k4;Use%_def_k5;Use%_med_k2;Use%_med_k3;Use%_med_k4;Use%_med_k5;Use%_mp_k0;Use%_mp_k1;Use%_mp_k2;Use%_mp_k3;time_ata_k1;time_ata_k2;time_ata_k3;time_def_k3;time_def_k4;time_def_k5;time_med_k2;time_med_k3;time_med_k4;time_med_k5;time_mp_k0;time_mp_k1;time_mp_k2;time_mp_k3;time_def_k0;Use%_def_k0;time_med_k1;Use%_med_k1;Use%_mp_k4;time_mp_k4
13;4-4-2;1530;44,74;Diego Simeone;44,74;0,0;17;6;4;1620;47,37;4;1980;57,89;0;2790;81,58;2;1530;44,74;10,53;44,74;2,63;50,0;47,37;2,63;0,0;2,63;57,89;31,58;81,58;0,0;10,53;0,0;360,0;1530,0;90,0;1710,0;1620,0;90,0;0,0;90,0;1980,0;1080,0;2790,0;0,0;360,0;0,0;0;0;270,0;7,89;7,89;270,0
418;4-3-3;3060;89,47;Carlo Ancelotti;89,47;0,0;34;5;4;3420;100,0;3;3150;92,11;0;3150;92,11;3;3060;89,47;2,63;2,63;89,47;0,0;100,0;0,0;0,0;92,11;5,26;0,0;92,11;5,26;0,0;0,0;90,0;90,0;3060,0;0,0;3420,0;0,0;0,0;3150,0;180,0;0,0;3150,0;180,0;0,0;0,0;0;0;90,0;2,63;2,63;90,0
131;4-3-3;2970;86,84;Xavi;86,84;0,0;33;4;4;3330;97,37;3;2970;86,84;0;3060;89,47;3;2970;86,84;7,89;0,0;86,84;2,63;97,37;0,0;7,89;86,84;2,63;0,0;89,47;0,0;0,0;7,89;270,0;0,0;2970,0;90,0;3330,0;0,0;270,0;2970,0;90,0;0,0;3060,0;0,0;0,0;270,0;0;0;90,0;2,63;2,63;90,0
1531;4-4-2;1890;55,26;Francisco Rodríguez;55,260000000000005;0,0;21;10;4;2250;65,79;4;2430;71,05;0;2880;84,21;2;1890;55,26;7,89;55,26;2,63;23,68;65,79;10,53;5,26;5,26;71,05;15,79;84,21;5,26;2,63;5,26;270,0;1890,0;90,0;810,0;2250,0;360,0;180,0;180,0;2430,0;540,0;2880,0;180,0;90,0;180,0;0;0;90,0;2,63;2,63;90,0
331;4-1-4-1;1260;36,84;Jagoba Arrasate;36,84;0,0;14;7;4;2790;81,58;1;1260;36,84;4;1260;36,84;1;1260;36,84;36,84;15,79;18,42;2,63;81,58;15,79;5,26;34,21;21,05;2,63;52,63;5,26;0,0;5,26;1260,0;540,0;630,0;90,0;2790,0;540,0;180,0;1170,0;720,0;90,0;1800,0;180,0;0,0;180,0;0;0;1260,0;36,84;36,84;1260,0
3368;5-3-2;1080;31,58;Alessio Lisci;31,58;0,0;12;9;5;1440;42,11;3;1710;50,0;0;2880;84,21;2;1080;31,58;10,53;31,58;18,42;7,89;50,0;42,11;2,63;50,0;31,58;2,63;84,21;0,0;0,0;2,63;360,0;1080,0;630,0;270,0;1710,0;1440,0;90,0;1710,0;1080,0;90,0;2880,0;0,0;0,0;90,0;0;0;450,0;13,16;13,16;450,0
368;4-3-3;1980;57,89;Julen Lopetegui;57,88999999999999;0,0;22;6;4;3150;92,11;3;1980;57,89;0;2250;65,79;3;1980;57,89;23,68;5,26;57,89;7,89;92,11;0,0;23,68;57,89;13,16;0,0;65,79;0,0;5,26;23,68;810,0;180,0;1980,0;270,0;3150,0;0,0;810,0;1980,0;450,0;0,0;2250,0;0,0;180,0;810,0;0;0;180,0;5,26;5,26;180,0
1049;4-4-2;1620;47,37;Pepe Bordalás;47,37;0,0;18;11;4;2430;71,05;4;2160;63,16;0;2340;68,42;2;1620;47,37;15,79;47,37;5,26;21,05;71,05;7,89;5,26;5,26;63,16;5,26;68,42;2,63;2,63;5,26;540,0;1620,0;180,0;720,0;2430,0;270,0;180,0;180,0;2160,0;180,0;2340,0;90,0;90,0;180,0;0;0;720,0;21,05;21,05;720,0
681;4-2-3-1;1440;42,11;Imanol Alguacil;42,11;0,0;16;7;4;3330;97,37;2;1440;42,11;3;1530;44,74;1;1440;42,11;42,11;15,79;13,16;0,0;97,37;2,63;42,11;31,58;13,16;0,0;28,95;15,79;0,0;44,74;1440,0;540,0;450,0;0,0;3330,0;90,0;1440,0;1080,0;450,0;0,0;990,0;540,0;0,0;1530,0;0;0;450,0;13,16;10,53;360,0
1108;4-2-3-1;1080;31,58;Julio Velázquez;31,58;0,0;12;6;4;3240;94,74;2;1080;31,58;3;1080;31,58;1;1080;31,58;31,58;28,95;15,79;0,0;94,74;5,26;31,58;15,79;36,84;0,0;50,0;2,63;0,0;31,58;1080,0;990,0;540,0;0,0;3240,0;180,0;1080,0;540,0;1260,0;0,0;1710,0;90,0;0,0;1080,0;0;0;540,0;15,79;15,79;540,0
80;4-3-3;1350;44,12;Thomas Reis;44,12;0,0;15;4;4;3060;100,0;3;1530;50,0;0;1350;44,12;3;1350;44,12;29,41;5,88;44,12;0,0;100,0;0,0;20,59;50,0;0,0;0,0;44,12;5,88;0,0;20,59;900,0;180,0;1350,0;0,0;3060,0;0,0;630,0;1530,0;0,0;0,0;1350,0;180,0;0,0;630,0;0;0;900,0;29,41;29,41;900,0
89;3-1-4-2;1620;52,94;Urs Fischer;52,94;0,0;18;4;3;2790;91,18;1;1620;52,94;4;1620;52,94;2;1620;52,94;0,0;52,94;0,0;91,18;0,0;8,82;0,0;8,82;23,53;14,71;23,53;23,53;0,0;0,0;0,0;1620,0;0,0;2790,0;0,0;270,0;0,0;270,0;720,0;450,0;720,0;720,0;0,0;0,0;0;0;1620,0;52,94;52,94;1620,0
44;4-2-3-1;990;32,35;Felix Magath;32,35;0,0;11;7;4;2430;79,41;2;990;32,35;3;990;32,35;1;990;32,35;32,35;23,53;11,76;20,59;79,41;0,0;32,35;14,71;29,41;14,71;50,0;2,94;5,88;32,35;990,0;720,0;360,0;630,0;2430,0;0,0;990,0;450,0;900,0;450,0;1530,0;90,0;180,0;990,0;0;0;270,0;8,82;8,82;270,0
167;4-4-2;1890;61,76;Markus Weinzierl;61,760000000000005;0,0;21;9;4;2340;76,47;4;2250;73,53;0;2160;70,59;2;1890;61,76;8,82;61,76;2,94;23,53;76,47;0,0;8,82;2,94;73,53;2,94;70,59;5,88;2,94;11,76;270,0;1890,0;90,0;720,0;2340,0;0,0;270,0;90,0;2250,0;90,0;2160,0;180,0;90,0;360,0;0;0;360,0;11,76;8,82;270,0
79;3-4-2-1;990;32,35;Pellegrino Matarazzo;32,35;0,0;11;6;3;1980;64,71;4;1170;38,24;2;990;32,35;1;990;32,35;32,35;26,47;26,47;64,71;35,29;0,0;2,94;26,47;38,24;26,47;58,82;0,0;32,35;2,94;990,0;810,0;810,0;1980,0;1080,0;0,0;90,0;810,0;1170,0;810,0;1800,0;0,0;990,0;90,0;0;0;180,0;5,88;5,88;180,0
23826;3-4-1-2;1260;41,18;Domenico Tedesco;41,18;0,0;14;8;3;2340;76,47;4;2160;70,59;1;1260;41,18;2;1260;41,18;17,65;41,18;5,88;76,47;20,59;2,94;17,65;0,0;70,59;2,94;14,71;41,18;17,65;17,65;540,0;1260,0;180,0;2340,0;630,0;90,0;540,0;0,0;2160,0;90,0;450,0;1260,0;540,0;540,0;0;0;270,0;8,82;8,82;270,0
82;3-4-2-1;990;32,35;Florian Kohfeldt;32,35;0,0;11;8;3;1440;47,06;4;1800;58,82;2;1260;41,18;1;990;32,35;32,35;5,88;14,71;47,06;47,06;5,88;23,53;17,65;58,82;0,0;29,41;5,88;41,18;23,53;990,0;180,0;450,0;1440,0;1440,0;180,0;720,0;540,0;1800,0;0,0;900,0;180,0;1260,0;720,0;0;0;0,0;0,0;0,0;0,0
24;3-4-2-1;1710;55,88;Oliver Glasner;55,88;0,0;19;7;3;2340;76,47;4;2340;76,47;2;1710;55,88;1;1710;55,88;55,88;11,76;0,0;76,47;14,71;8,82;11,76;2,94;76,47;8,82;20,59;11,76;55,88;11,76;1710,0;360,0;0,0;2340,0;450,0;270,0;360,0;90,0;2340,0;270,0;630,0;360,0;1710,0;360,0;0;0;0,0;0,0;0,0;0,0
10;4-2-3-1;2070;67,65;Marco Kostmann;67,65;0,0;23;7;4;2790;91,18;2;2070;67,65;3;2070;67,65;1;2070;67,65;67,65;8,82;8,82;8,82;91,18;0,0;67,65;14,71;14,71;0,0;17,65;8,82;2,94;67,65;2070,0;270,0;270,0;270,0;2790,0;0,0;2070,0;450,0;450,0;0,0;540,0;270,0;90,0;2070,0;0;0;90,0;2,94;2,94;90,0
18;3-4-2-1;1620;52,94;Adi Hütter;52,94;0,0;18;8;3;1980;64,71;4;2160;70,59;2;1620;52,94;1;1620;52,94;52,94;5,88;5,88;64,71;26,47;8,82;20,59;5,88;70,59;0,0;17,65;5,88;52,94;20,59;1620,0;180,0;180,0;1980,0;810,0;270,0;630,0;180,0;2160,0;0,0;540,0;180,0;1620,0;630,0;0;0;90,0;2,94;2,94;90,0
65;4-3-1-2;1620;52,94;Stefan Leitl;52,94;0,0;18;5;4;2250;73,53;3;2340;76,47;1;1620;52,94;2;1620;52,94;11,76;52,94;0,0;0,0;73,53;26,47;11,76;76,47;2,94;0,0;26,47;52,94;0,0;11,76;360,0;1620,0;0,0;0,0;2250,0;810,0;360,0;2340,0;90,0;0,0;810,0;1620,0;0,0;360,0;0;0;270,0;8,82;8,82;270,0
60;4-2-3-1;1260;41,18;Christian Streich;41,18;0,0;14;4;4;1890;61,76;2;1260;41,18;3;1260;41,18;1;1260;41,18;41,18;20,59;32,35;38,24;61,76;0,0;41,18;0,0;52,94;5,88;58,82;0,0;0,0;41,18;1260,0;630,0;990,0;1170,0;1890,0;0,0;1260,0;0,0;1620,0;180,0;1800,0;0,0;0,0;1260,0;0;0;0,0;0,0;0,0;0,0
39;3-1-4-2;900;29,41;Bo Svensson;29,410000000000004;0,0;10;7;3;2880;94,12;1;900;29,41;4;900;29,41;2;900;29,41;20,59;29,41;2,94;94,12;0,0;5,88;0,0;2,94;38,24;29,41;38,24;11,76;20,59;0,0;630,0;900,0;90,0;2880,0;0,0;180,0;0,0;90,0;1170,0;900,0;1170,0;360,0;630,0;0,0;0;0;900,0;29,41;29,41;900,0
533;3-4-1-2;900;29,41;Sebastian Hoeneß;29,410000000000004;0,0;10;10;3;1530;50,0;4;1440;47,06;1;1080;35,29;2;900;29,41;17,65;29,41;8,82;50,0;35,29;14,71;17,65;17,65;47,06;2,94;26,47;35,29;5,88;17,65;540,0;900,0;270,0;1530,0;1080,0;450,0;540,0;540,0;1440,0;90,0;810,0;1080,0;180,0;540,0;0;0;450,0;14,71;14,71;450,0
27;4-2-3-1;1980;64,71;Julian Nagelsmann;64,71;0,0;22;5;4;2160;70,59;2;1980;64,71;3;1980;64,71;1;1980;64,71;64,71;0,0;2,94;29,41;70,59;0,0;64,71;2,94;29,41;0,0;5,88;0,0;26,47;64,71;1980,0;0,0;90,0;900,0;2160,0;0,0;1980,0;90,0;900,0;0,0;180,0;0,0;810,0;1980,0;0;0;90,0;2,94;2,94;90,0
3;4-1-3-2;1260;41,18;Steffen Baumgart;41,18;0,0;14;4;4;3060;100,0;1;1260;41,18;3;2430;79,41;2;1260;41,18;38,24;41,18;2,94;0,0;100,0;0,0;38,24;2,94;17,65;0,0;20,59;0,0;0,0;79,41;1170,0;1260,0;90,0;0,0;3060,0;0,0;1170,0;90,0;540,0;0,0;630,0;0,0;0,0;2430,0;0;0;1260,0;41,18;0,0;0,0
16;4-2-3-1;1080;35,29;Marco Rose;35,29;0,0;12;9;4;2160;70,59;2;1080;35,29;3;1080;35,29;1;1080;35,29;35,29;8,82;20,59;29,41;70,59;0,0;35,29;23,53;32,35;5,88;38,24;5,88;17,65;35,29;1080,0;270,0;630,0;900,0;2160,0;0,0;1080,0;720,0;990,0;180,0;1170,0;180,0;540,0;1080,0;0;0;90,0;2,94;2,94;90,0
15;4-2-3-1;2340;76,47;Gerardo Seoane;76,47;0,0;26;4;4;2790;91,18;2;2340;76,47;3;2340;76,47;1;2340;76,47;76,47;14,71;0,0;2,94;91,18;5,88;76,47;5,88;17,65;0,0;20,59;0,0;2,94;76,47;2340,0;450,0;0,0;90,0;2790,0;180,0;2340,0;180,0;540,0;0,0;630,0;0,0;90,0;2340,0;0;0;0,0;0,0;0,0;0,0
749;4-3-1-2;2520;73,68;Aurelio Andreazzoli;73,67999999999999;0,0;28;2;4;3420;100,0;3;3420;100,0;1;2520;73,68;2;2520;73,68;26,32;73,68;0,0;0,0;100,0;0,0;0,0;100,0;0,0;0,0;0,0;73,68;26,32;0,0;900,0;2520,0;0,0;0,0;3420,0;0,0;0,0;3420,0;0,0;0,0;0,0;2520,0;900,0;0,0;0;0;0,0;0,0;0,0;0,0
6195;4-2-3-1;2250;65,79;Luciano Spalletti;65,79;0,0;25;4;4;3240;94,74;2;2250;65,79;3;2250;65,79;1;2250;65,79;65,79;2,63;26,32;5,26;94,74;0,0;65,79;26,32;7,89;0,0;28,95;0,0;5,26;65,79;2250,0;90,0;900,0;180,0;3240,0;0,0;2250,0;900,0;270,0;0,0;990,0;0,0;180,0;2250,0;0;0;0,0;0,0;0,0;0,0
607;4-3-3;1890;55,26;Andrea Soncin;55,260000000000005;0,0;21;8;4;2700;78,95;3;2700;78,95;0;2160;63,16;3;1890;55,26;10,53;10,53;55,26;18,42;78,95;2,63;2,63;78,95;13,16;5,26;63,16;18,42;15,79;2,63;360,0;360,0;1890,0;630,0;2700,0;90,0;90,0;2700,0;450,0;180,0;2160,0;630,0;540,0;90,0;0;0;0,0;0,0;0,0;0,0
380;4-3-1-2;990;28,95;Davide Nicola;28,95;0,0;11;8;4;1530;44,74;3;1620;47,37;1;1350;39,47;2;990;28,95;5,26;28,95;0,0;34,21;44,74;21,05;5,26;47,37;26,32;21,05;52,63;39,47;2,63;5,26;180,0;990,0;0,0;1170,0;1530,0;720,0;180,0;1620,0;900,0;720,0;1800,0;1350,0;90,0;180,0;0;0;0,0;0,0;0,0;0,0
416;3-4-2-1;3240;94,74;Ivan Juric;94,74;0,0;36;2;3;3420;100,0;4;3420;100,0;2;3240;94,74;1;3240;94,74;94,74;5,26;0,0;100,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;5,26;94,74;0,0;3240,0;180,0;0,0;3420,0;0,0;0,0;0,0;0,0;3420,0;0,0;0,0;180,0;3240,0;0,0;0;0;0,0;0,0;0,0;0,0
46;3-5-2;3330;97,37;Simone Inzaghi;97,37;0,0;37;2;3;3420;100,0;5;3330;97,37;0;3330;97,37;2;3330;97,37;0,0;97,37;0,0;100,0;0,0;0,0;0,0;0,0;2,63;97,37;97,37;2,63;0,0;0,0;0,0;3330,0;0,0;3420,0;0,0;0,0;0,0;0,0;90,0;3330,0;3330,0;90,0;0,0;0,0;0;0;0,0;0,0;0,0;0,0
1025;3-5-2;1440;42,11;Siniša Mihajlović;42,11;0,0;16;7;3;2790;81,58;5;1440;42,11;0;1890;55,26;2;1440;42,11;15,79;42,11;10,53;81,58;15,79;2,63;15,79;2,63;36,84;42,11;55,26;10,53;15,79;15,79;540,0;1440,0;360,0;2790,0;540,0;90,0;540,0;90,0;1260,0;1440,0;1890,0;360,0;540,0;540,0;0;0;90,0;2,63;2,63;90,0
1038;4-4-2;1530;44,74;Marco Giampaolo;44,74;0,0;17;8;4;3240;94,74;4;1620;47,37;0;1800;52,63;2;1530;44,74;13,16;44,74;5,26;5,26;94,74;0,0;5,26;31,58;47,37;2,63;52,63;23,68;5,26;5,26;450,0;1530,0;180,0;180,0;3240,0;0,0;180,0;1080,0;1620,0;90,0;1800,0;810,0;180,0;180,0;0;0;450,0;13,16;13,16;450,0
410;3-5-2;2610;76,32;Gabriele Cioffi;76,32;0,0;29;6;3;3150;92,11;5;2610;76,32;0;2970;86,84;2;2610;76,32;2,63;76,32;5,26;92,11;7,89;0,0;2,63;0,0;21,05;76,32;86,84;7,89;2,63;2,63;90,0;2610,0;180,0;3150,0;270,0;0,0;90,0;0,0;720,0;2610,0;2970,0;270,0;90,0;90,0;0;0;0,0;0,0;0,0;0,0
12;4-2-3-1;1170;34,21;José Mourinho;34,21;0,0;13;4;4;1170;34,21;2;1170;34,21;3;1170;34,21;1;1170;34,21;34,21;26,32;0,0;65,79;34,21;0,0;34,21;0,0;39,47;26,32;26,32;18,42;21,05;34,21;1170,0;900,0;0,0;2250,0;1170,0;0,0;1170,0;0,0;1350,0;900,0;900,0;630,0;720,0;1170,0;0;0;0,0;0,0;0,0;0,0
5;4-2-3-1;3420;100,0;Stefano Pioli;100,0;0,0;38;1;4;3420;100,0;2;3420;100,0;3;3420;100,0;1;3420;100,0;100,0;0,0;0,0;0,0;100,0;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;3420,0;0,0;0,0;0,0;3420,0;0,0;3420,0;0,0;0,0;0,0;0,0;0,0;0,0;3420,0;0;0;0,0;0,0;0,0;0,0
252;4-2-3-1;1710;50,0;Alexander Blessin;50,0;0,0;19;4;4;2070;60,53;2;1710;50,0;3;1710;50,0;1;1710;50,0;50,0;39,47;0,0;39,47;60,53;0,0;50,0;10,53;0,0;39,47;39,47;5,26;5,26;50,0;1710,0;1350,0;0,0;1350,0;2070,0;0,0;1710,0;360,0;0,0;1350,0;1350,0;180,0;180,0;1710,0;0;0;0,0;0,0;0,0;0,0
800;3-4-2-1;2250;65,79;Gian Piero Gasperini;65,79;0,0;25;4;3;3060;89,47;4;2970;86,84;2;2250;65,79;1;2250;65,79;65,79;21,05;0,0;89,47;10,53;0,0;10,53;0,0;86,84;2,63;2,63;21,05;65,79;10,53;2250,0;720,0;0,0;3060,0;360,0;0,0;360,0;0,0;2970,0;90,0;90,0;720,0;2250,0;360,0;0;0;0,0;0,0;0,0;0,0
506;4-4-2;1710;50,0;Massimiliano Allegri;50,0;0,0;19;6;4;3150;92,11;4;1800;52,63;0;2520;73,68;2;1710;50,0;18,42;50,0;15,79;7,89;92,11;0,0;18,42;21,05;52,63;7,89;73,68;7,89;0,0;18,42;630,0;1710,0;540,0;270,0;3150,0;0,0;630,0;720,0;1800,0;270,0;2520,0;270,0;0,0;630,0;0;0;0,0;0,0;0,0;0,0
6574;4-2-3-1;2340;68,42;Alessio Dionisi;68,42;0,0;26;3;4;3420;100,0;2;2340;68,42;3;2340;68,42;1;2340;68,42;68,42;2,63;28,95;0,0;100,0;0,0;68,42;28,95;2,63;0,0;31,58;0,0;0,0;68,42;2340,0;90,0;990,0;0,0;3420,0;0,0;2340,0;990,0;90,0;0,0;1080,0;0,0;0,0;2340,0;0;0;0,0;0,0;0,0;0,0
398;4-3-3;3420;100,0;Maurizio Sarri;100,0;0,0;38;1;4;3420;100,0;3;3420;100,0;0;3420;100,0;3;3420;100,0;0,0;0,0;100,0;0,0;100,0;0,0;0,0;100,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;0,0;3420,0;0,0;3420,0;0,0;0,0;3420,0;0,0;0,0;3420,0;0,0;0,0;0,0;0;0;0,0;0,0;0,0;0,0
3522;4-2-3-1;1710;50,0;Thiago Motta;50,0;0,0;19;8;4;2610;76,32;2;1710;50,0;3;1710;50,0;1;1710;50,0;50,0;15,79;18,42;23,68;76,32;0,0;50,0;21,05;10,53;15,79;42,11;0,0;5,26;50,0;1710,0;540,0;630,0;810,0;2610,0;0,0;1710,0;720,0;360,0;540,0;1440,0;0,0;180,0;1710,0;0;0;90,0;2,63;2,63;90,0
430;4-3-3;3420;100,0;Vincenzo Italiano;100,0;0,0;38;1;4;3420;100,0;3;3420;100,0;0;3420;100,0;3;3420;100,0;0,0;0,0;100,0;0,0;100,0;0,0;0,0;100,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;0,0;3420,0;0,0;3420,0;0,0;0,0;3420,0;0,0;0,0;3420,0;0,0;0,0;0,0;0;0;0,0;0,0;0,0;0,0
276;3-4-2-1;3240;94,74;Igor Tudor;94,74;0,0;36;2;3;3420;100,0;4;3420;100,0;2;3240;94,74;1;3240;94,74;94,74;5,26;0,0;100,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;5,26;94,74;0,0;3240,0;180,0;0,0;3420,0;0,0;0,0;0,0;0,0;3420,0;0,0;0,0;180,0;3240,0;0,0;0;0;0,0;0,0;0,0;0,0
1390;3-5-2;1890;55,26;Alessandro Agostini;55,260000000000005;0,0;21;7;3;2160;63,16;5;1890;55,26;0;2790;81,58;2;1890;55,26;7,89;55,26;0,0;63,16;34,21;2,63;0,0;2,63;42,11;55,26;81,58;13,16;5,26;0,0;270,0;1890,0;0,0;2160,0;1170,0;90,0;0,0;90,0;1440,0;1890,0;2790,0;450,0;180,0;0,0;0;0;0,0;0,0;0,0;0,0
347;3-5-2;720;21,05;Frédéric Antonetti;21,05;0,0;8;10;3;1980;57,89;5;810;23,68;0;2070;60,53;2;720;21,05;15,79;21,05;10,53;57,89;18,42;23,68;0,0;26,32;47,37;23,68;60,53;21,05;15,79;0,0;540,0;720,0;360,0;1980,0;630,0;810,0;0,0;900,0;1620,0;810,0;2070,0;720,0;540,0;0,0;0;0;90,0;2,63;2,63;90,0
1095;5-4-1;1710;50,0;Bruno Irles;50,0;0,0;19;10;5;2070;60,53;4;2340;68,42;0;2880;84,21;1;1710;50,0;50,0;15,79;2,63;28,95;10,53;60,53;2,63;10,53;68,42;18,42;84,21;5,26;7,89;2,63;1710,0;540,0;90,0;990,0;360,0;2070,0;90,0;360,0;2340,0;630,0;2880,0;180,0;270,0;90,0;0;0;0,0;0,0;0,0;0,0
273;4-3-3;1440;42,11;Bruno Génésio;42,11;0,0;16;4;4;3420;100,0;3;1440;42,11;0;2700;78,95;3;1440;42,11;13,16;36,84;42,11;0,0;100,0;0,0;7,89;42,11;36,84;0,0;78,95;0,0;0,0;7,89;450,0;1260,0;1440,0;0,0;3420,0;0,0;270,0;1440,0;1260,0;0,0;2700,0;0,0;0,0;270,0;0;0;450,0;13,16;13,16;450,0
1421;3-5-2;810;23,68;Óscar García;23,68;0,0;9;13;3;1800;52,63;5;900;26,32;0;2250;65,79;2;810;23,68;10,53;23,68;10,53;52,63;31,58;15,79;10,53;18,42;36,84;26,32;65,79;7,89;7,89;10,53;360,0;810,0;360,0;1800,0;1080,0;540,0;360,0;630,0;1260,0;900,0;2250,0;270,0;270,0;360,0;0;0;270,0;7,89;7,89;270,0
